Year,City,Sport,Athlete,Country,Gender,Event,Medal
1924,Chamonix,Ice Hockey,"ABEL, Clarence John",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"DRURY, Herbert L.",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"GERAN, N.",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"LACROIX, Alphonse",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"LANGLEY, John Arthur",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"LYONS, John Sharkey",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"MAC CARTHY, Justin",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"RICE, Willard",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"SMALL, Irving Wheeler",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"SYNNOTT, Francis Allen",USA,Men,Ice Hockey,Silver
1932,Lake Placid,Ice Hockey,"ANDERSON, Osborn",USA,Men,Ice Hockey,Silver
1932,Lake Placid,Ice Hockey,"BENT, John Peale",USA,Men,Ice Hockey,Silver
1932,Lake Placid,Ice Hockey,"CHASE, John Pierce",USA,Men,Ice Hockey,Silver
1932,Lake Placid,Ice Hockey,"COOKMAN, John Emery",USA,Men,Ice Hockey,Silver
1932,Lake Placid,Ice Hockey,"EVERETT, Douglas Newton",USA,Men,Ice Hockey,Silver
1932,Lake Placid,Ice Hockey,"FARRELL, Franklin",USA,Men,Ice Hockey,Silver
1932,Lake Placid,Ice Hockey,"FITZGERALD, Joseph",USA,Men,Ice Hockey,Silver
1932,Lake Placid,Ice Hockey,"FRAZIER, Edward Hartwell",USA,Men,Ice Hockey,Silver
1932,Lake Placid,Ice Hockey,"GARRISON, John Bright",USA,Men,Ice Hockey,Silver
1932,Lake Placid,Ice Hockey,"HALLOCK, Gerard",USA,Men,Ice Hockey,Silver
1932,Lake Placid,Ice Hockey,"LIVINGSTON, Robert Cambridge",USA,Men,Ice Hockey,Silver
1932,Lake Placid,Ice Hockey,"NELSON, Francis Augustus",USA,Men,Ice Hockey,Silver
1932,Lake Placid,Ice Hockey,"PALMER, Winthrop Hale",USA,Men,Ice Hockey,Silver
1932,Lake Placid,Ice Hockey,"SMITH, Gordon",USA,Men,Ice Hockey,Silver
1936,Garmisch Partenkirchen,Ice Hockey,"GARRISON, John Bright",USA,Men,Ice Hockey,Bronze
1936,Garmisch Partenkirchen,Ice Hockey,"KAMMER, August",USA,Men,Ice Hockey,Bronze
1936,Garmisch Partenkirchen,Ice Hockey,"LA BATTE, Philip William",USA,Men,Ice Hockey,Bronze
1936,Garmisch Partenkirchen,Ice Hockey,"LAX, John Charles",USA,Men,Ice Hockey,Bronze
1936,Garmisch Partenkirchen,Ice Hockey,"MOONE, Thomas",USA,Men,Ice Hockey,Bronze
1936,Garmisch Partenkirchen,Ice Hockey,"ROSS, Eldridge Baker",USA,Men,Ice Hockey,Bronze
1936,Garmisch Partenkirchen,Ice Hockey,"ROWE, Paul Edward",USA,Men,Ice Hockey,Bronze
1936,Garmisch Partenkirchen,Ice Hockey,"SHAUGHNESSY, Francis John",USA,Men,Ice Hockey,Bronze
1936,Garmisch Partenkirchen,Ice Hockey,"SMITH, Gordon",USA,Men,Ice Hockey,Bronze
1936,Garmisch Partenkirchen,Ice Hockey,"SPAIN, Francis Jones",USA,Men,Ice Hockey,Bronze
1936,Garmisch Partenkirchen,Ice Hockey,"STUBBS, Frank Raymond",USA,Men,Ice Hockey,Bronze
1952,Oslo,Ice Hockey,"BJORKMAN, Ruben Eugene",USA,Men,Ice Hockey,Silver
1952,Oslo,Ice Hockey,"CEGLARSKI, Leonard Stanley",USA,Men,Ice Hockey,Silver
1952,Oslo,Ice Hockey,"CZARNOTA, Joseph John",USA,Men,Ice Hockey,Silver
1952,Oslo,Ice Hockey,"DESMOND, Richard Joseph",USA,Men,Ice Hockey,Silver
1952,Oslo,Ice Hockey,"GAMBUCCI, Andre Peter",USA,Men,Ice Hockey,Silver
1952,Oslo,Ice Hockey,"HARRISON, Clifford",USA,Men,Ice Hockey,Silver
1952,Oslo,Ice Hockey,"KILMARTIN, Gerald Walsh",USA,Men,Ice Hockey,Silver
1952,Oslo,Ice Hockey,"MULHERN, John Francis",USA,Men,Ice Hockey,Silver
1952,Oslo,Ice Hockey,"NOAH, John Michael",USA,Men,Ice Hockey,Silver
1952,Oslo,Ice Hockey,"OSS, Arnold Carl",USA,Men,Ice Hockey,Silver
1952,Oslo,Ice Hockey,"ROMPRE, Robert Edward",USA,Men,Ice Hockey,Silver
1952,Oslo,Ice Hockey,"SEDIN, James Walter",USA,Men,Ice Hockey,Silver
